PID,EntryNum,APIImageCaption,User Query,User Location,User Comments,User Trust,User Satisfaction,Coded Acc:Coverage,Coded Acc:Specificity,Coded Acc:Accuracy,Coded User Goal,Coded Lower Location,Coded Higher Location,Coded User Reaction to Result,Photo Properties,Photo Content,Photo Link
P12,1,a dog sitting on a couch,wanting to get a picture of the dog on the couch and wanted to know if it was in the camera frame. would like details about what is happening or colors,living room,would like details about what is happening or colors,4,4,3,2,3,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Suggestions for improvement']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Photo is clear', 'Taken at an eye level photo subject', 'Close-up Photo']","['Animal', 'Object on furniture', 'Furniture', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P12_1_01_11_23.jpg
P12,2,a close up of a fabric,pattern and colors on pants i am wearing,living room,the descriptions gave no useful info on objects or colors and no context. it is as if there was no description in terms of usefulness. ,1,1,3,2,3,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result', 'Critique of result', 'Suggestions for improvement']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Taken from above photo subject', 'Photo is clear', 'Close-up Photo']","['Clothing', 'Immobile object', 'Decorative image']",DiaryEntryData/DiaryEntryPhotos/P12_2_01_12_23.jpg
P12,3,a red light in the dark,label on product package,bedroom,I was trying to get a picture of a package but not sure what else is in the photo as it is a bit tricky to line up. description said it was red light in the room. Which is actually correct because there is a red light on in the room but it’s not where I was aiming the camera,3,2,3,3,3,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result', 'Confused by result']","['Photo is not well-lit', 'Black screen', 'Photo subject not captured']","['Black screen', 'Light source']",DiaryEntryData/DiaryEntryPhotos/P12_3_01_14_23.jpg
P12,4,a person lying down,wanting a pic of The dog,bedroom,I believe this is a picture of a dog laying down but descriptions said that it was a person. so the general idea was wrong about it being a person,2,2,3,2,2,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result']","['Photo is not well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Close-up Photo']","['Animal', 'Object on non-furniture surface', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P12_4_01_14_23.jpg
P12,5,a person's hand touching a furry white furry animal,Wanting to see if I could get a picture of the dog in the camera and how wide the frame was,living room,it also knew that it was a white furry animal. So it was pretty accurate. I didn’t expect that.,4,5,3,2,3,learnApplication,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Alternative to help frame photo', 'Reaction to result', 'Surprised by result', 'Positive reaction to result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Close-up Photo']","['Animal', 'Object on non-furniture surface', 'Immobile object', 'Body part', 'Person']",DiaryEntryData/DiaryEntryPhotos/P12_5_01_15_23.jpg
P12,6,a hand holding a bottle of alcohol,I wanted to see if this could identify the product or what type of item it was. going into this I knew this was a bottle of alcohol. But if I didn’t I am happy that the description was able to tell me it was alcohol. I also wanted to see if I could identify what type of alcohol or specific brand or type of item it was. It was not able to do this,kitchen,going into this I knew this was a bottle of alcohol. But if I didn’t I am happy that the description was able to tell me it was alcohol. I also wanted to see if I could identify what type of alcohol or specific brand or type of item it was. It was not able to do this.I cannot be sure however if this is just a limit of the service or if it was because I was not aiming the camera correctly. Unlike with other apps there’s nothing to direct you to where to point the camera. This means I did not know if the logo or print was showing on the bottle. I tried to aim at one of the logos but I’m not sure what it actually captured.,3,4,3,3,3,learnApplication,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Confused by result', 'Learning limits of AI app', 'Mixed reaction to result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Taken at an eye level photo subject', 'Close-up Photo']","['Beverage', 'Object on hand', 'Immobile object', 'Text', 'Body part', 'Person']",DiaryEntryData/DiaryEntryPhotos/P12_6_01_16_23.jpg
P12,7,a close-up of a dollar bill,identify the denomination of bill,dining room,"I was told this was a one dollar bill. I would have trusted this however I verified with another party and was told it was actually a $20 bill. So if I had not known better the app would have been incorrect and I wouldn’t have known that and would have trusted that",1,2,3,2,3,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Verifying AI result with a human', 'Reaction to result', 'Negative reaction to result', 'Feeling misguided by AI']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Photo subject is blurry', 'Photo background is clear', 'Taken from above photo subject', 'Close-up Photo']","['Currency', 'Object on furniture', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P12_7_01_20_23.jpg
P12,8,a dog lying on a couch,The dog is in a bag and I wanted to know if the app could recognize that.,living room,I already knew the dog was in the bag but if I didn’t the app would at least have told me the dog was in the picture. The bag is on a couch so it was still fairly correct.,3,4,2,2,2,learnApplication,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Being forgiving of AI errors', 'Positive reaction to result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Taken from above photo subject', 'Close-up Photo']","['Animal', 'Object on furniture', 'Furniture', 'Immobile object', 'Containers']",DiaryEntryData/DiaryEntryPhotos/P12_8_01_20_23.jpg
P12,9,text,wanting to identify a product packaging. it was able to tell me there was text which I already knew because it’s a package with writing on it but did not tell me any of the text.,bedroom,it was able to tell me there was text which I already knew because it’s a package with writing on it but did not tell me any of the text. I also do not know however how clear the image was. So this could also be an issue with taking the photo and the clarity. I was not able to recognize what the product was with this photo,2,1,1,1,1,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Uncertainty because of result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Taken from above photo subject', 'Close-up Photo']","['Packaged item', 'Object on non-furniture surface', 'Immobile object', 'Text']",DiaryEntryData/DiaryEntryPhotos/P12_9_01_20_23.jpg
P12,10,a person holding a small box,wanted to identify a new package,bedroom,it was able to tell I was holding a package which was correct. But it did not actually identify anything on the package for me to know what it was. so the description was correct but did not assist me in finding the information I needed which was a purpose of taking the picture.,3,2,2,2,1,identifySubject,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Photo is clear', 'Taken from above photo subject', 'Close-up Photo']","['Decorative image', 'Light source', 'Text', 'Immobile object', 'Object on hand', 'Body part', 'Person']",DiaryEntryData/DiaryEntryPhotos/P12_10_01_20_23.jpg
P12,11,a person holding a bag of candy,product identification.  it was not able to tell me what the specific item was.,living room,this is a bottle of liquid and the app thought it was candy. it was not able to tell me what the specific item was.,1,1,3,2,1,identifySubject,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Taken at an eye level photo subject', 'Close-up Photo']","['Cooking supply', 'Object on hand', 'Immobile object', 'Text', 'Reflective Surface', 'Body part', 'Person']",DiaryEntryData/DiaryEntryPhotos/P12_11_01_22_23.jpg
P12,12,background pattern,identify blanket colors ,living room,The description is correct that it is a basic background but it did not know the color I was looking for.,2,2,1,1,1,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Close-up Photo']","['Clothing', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P12_12_01_22_23.jpg
P12,13,a close up of a pink blanket,color of jacket,living room,The app never told me there was a description. It also never told me to try again later. I just took a picture and then it would not allow me to take one again. But it did not give me the usual error. So it allowed me to move to the next page. Not sure if it took the photo as there was no feedback.,1,1,2,2,2,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Confused by result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Close-up Photo']","['Clothing', 'Immobile object', 'Electronic device']",DiaryEntryData/DiaryEntryPhotos/P12_13_01_22_23.jpg
P12,14,a black rectangular object on a wooden surface,identify what electronic device was on the floor.,kitchen,The description was correct with the shape of the object and that it was on the floor. It mentioned a color but I do not trust if that is correct. And did not identify what the actual item was or any of the writing on it. ,4,2,3,2,3,identifySubject,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Photo is clear', 'Taken from above photo subject', 'Close-up Photo']","['Electronic device', 'Immobile object', 'Object on ground', 'Styled floor']",DiaryEntryData/DiaryEntryPhotos/P12_14_01_22_23.jpg
P12,15,a cat lying on a person's lap,wanted to take a picture in to just see what was caught in the frame. to see if I could get a dog picture. ,living room,The dog is next to me wrapped in a blanket. The app thought it was a cat on a lap which was not correct but it’s fairly close. Also only the ears were sticking out so it could understandably look like a cat. it also did not understand that there was a blanket or tell me how close up the picture was.,2,2,2,1,1,learpplication,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Being forgiving of AI errors']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is occluded', 'Photo subject partially-captured', 'Photo subject is blurry', 'Close-up Photo']","['Clothing', 'Immobile object', 'Animal']",DiaryEntryData/DiaryEntryPhotos/P12_15_01_22_23.jpg
P12,16,"text, calendar",product identification or color in the bottle,bathroom,I actually know what product this was and the app was completely incorrect on what I thought it was. It also thought it was a Calendar. It is only correct that there is text on the bottle but otherwise it is not accurate.,1,1,1,1,1,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Negative reaction to result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Close-up Photo']","['Selfcare Object', 'Immobile object', 'Text']",DiaryEntryData/DiaryEntryPhotos/P12_16_01_23_23.jpg
P12,18,a person holding a piece of paper,Reading the label on a cup,kitchen,text was not read. The description was correct but did not give the information needed,2,2,2,2,2,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Photo is clear', 'Taken at an eye level photo subject', 'Close-up Photo']","['Beverage', 'Immobile object', 'Text', 'Object on hand', 'Body part', 'Person']",DiaryEntryData/DiaryEntryPhotos/P12_18_01_23_23.jpg
P12,19,a person's foot in a shoe,Color or pattern on shoe as there are two of the same pairs with different patterns and colors,living room,description was right on a basic level as it was a picture of a shoe but did not give the information requested. it also thought there was a foot in the shoe which is incorrect.,3,2,3,2,2,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result', 'Critique of result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is occluded', 'Photo subject fully captured', 'Photo is clear', 'Taken from above photo subject', 'Close-up Photo']","['Clothing', 'Immobile object', 'Body part', 'Person', 'Styled floor']",DiaryEntryData/DiaryEntryPhotos/P12_19_01_23_23.jpg
P12,20,a person holding a book,Color or pattern on the object. Wanted to see if it would know what the object was. I may have also been holding it to close up to the camera.,dining room,The object was a purse and not a book.,2,2,2,2,1,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Critique of result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Close-up Photo']","['Object on hand', 'Immobile object', 'Text', 'Containers', 'Decorative image']",DiaryEntryData/DiaryEntryPhotos/P12_20_01_23_23.jpg
P12,21,a grey surface with a dark background,Color of the cushions,living room,description was pretty accurate especially given the lighting. But was not totally correct I already knew the lighting situation and the color going into it.,3,2,3,2,2,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Surprised by result', 'Negative reaction to result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Close-up Photo']","['Furniture', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P12_21_01_23_23.jpg
P12,22,a person holding a piece of wood,wanted to see if it could identify the type of floor.,living room,it was correct that it was a wood floor. It thought there was a hand holding wood which was not correct.,3,4,3,2,2,learnApplication,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Mixed reaction to result', 'Critique of result']","['Photo is well-lit', 'Uneven lighting', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Photo is clear', 'Taken from above photo subject', 'Close-up Photo']","['Styled floor', 'Immobile object', 'Body part', 'Person']",DiaryEntryData/DiaryEntryPhotos/P12_22_01_23_23.jpg
P12,23,a dog lying on a green surface,to get a dog picture to share. ,living room,this was the description that seemed the most accurate in terms of the color and what else was in the photo.,4,5,3,3,3,learnApplication,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,"['Reaction to result', 'Positive reaction to result']","['Photo is well-lit', 'Even lighting', 'Photo subject of interest is not occluded', 'Photo subject partially-captured', 'Photo is clear', 'Taken from above photo subject', 'Close-up Photo']","['Animal', 'Object on non-furniture surface', 'Immobile object']",DiaryEntryData/DiaryEntryPhotos/P12_23_01_23_23.jpg
P4,1,a row of books on a shelf,"The names on the boxes, or how many",home,NA,3,4,2,2,2,identifyFeatures,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,['Reaction to result'],"['Photo is clear', 'Photo is well-lit', 'Photo subject of interest is not occluded', 'Photo subject fully captured', 'Even lighting']","['Furniture', 'Object on furniture', 'Multiple objects of interest', 'Immobile object', 'Group of similar items', 'Recreational items']",DiaryEntryData/DiaryEntryPhotos/P4_1_11_07_22.jpg
P4,2,a shelf with baskets and objects on it,an  idea of what was on the shelf,home,NA,4,4,3,2,3,identifySubject,"['Used at home', 'Used in a familiar space', 'Used indoors', 'Used in a private space']",Used in Living Spaces/Domiciles,['Reaction to result'],"['Uneven lighting', 'Photo subject is back-lit', 'Taken from below photo subject', 'Photo is clear', 'Photo is well-lit', 'Photo subject of interest is not occluded', 'Photo subject partially-captured']","['Furniture', 'Containers', 'Overhead object', 'Immobile object', 'Object on furniture', 'Object out of reach', 'Mutliple objects of interest', 'Inconvenient to inspect by touch']",DiaryEntryData/DiaryEntryPhotos/P4_2_11_10_22.jpg
